date,plot,species,si.offset.e,si.offset.n,tree.easting,tree.northing,sensor.est.e,sensor.est.n,dbh,height,cbh,rad.in,rad.out,distance,bearing,east.center,north.center,tag
2013-09-20,PLT0032,pinure,NA,NA,731592.9,4713221.9,731589.0845,4713216.837,33,31,23.5,3.91,3.18,6.34,37,-3.815507247,-5.063349134,290961
2013-09-20,PLT0032,pinure,565.9400024,164.6999969,732158.84,4713386.6,732155.8514,4713386.339,22.4,24.4,10.2,3.49,5.04,3,85,-2.988584094,-0.261467228,290969
2013-09-20,PLT0024,pinure,510.8850098,142.4589996,732103.785,4713364.359,732105.8493,4713364.686,34.5,27,18.7,1.57,2.61,2.09,261,2.064268632,0.326948032,260755
2013-09-20,PLT0024,pinure,509.4570007,144.8589935,732102.357,4713366.759,732105.5669,4713364.98,17.3,1.3,1.3,NA,NA,3.67,299,3.209854325,-1.779251306,260667
2013-09-20,PLT0024,pinure,506.5960083,145.7539978,732099.496,4713367.654,732105.5758,4713365.441,35.8,25.4,18.4,1.63,1.51,6.47,290,6.079811256,-2.212870327,260665
2013-09-20,PLT0024,pinure,511.4559937,146.2059937,732104.356,4713368.106,732105.9034,4713364.933,27,21.3,13.1,1.31,1.57,3.53,334,1.547450148,-3.172742983,260756
2013-09-20,PLT0024,querru,510.9389954,150.8139954,732103.839,4713372.714,732105.9752,4713365.264,41.3,26.4,10.8,5.42,2.56,7.75,344,2.136189508,-7.449778144,260752
2013-09-20,PLT0024,querru,515.9699707,149.0279999,732108.87,4713370.928,732106.1914,4713365.671,35.7,25.5,10.7,2.39,4.96,5.9,27,-2.678543948,-5.256938493,260762
2013-09-20,PLT0024,querru,518.2650146,144.095993,732111.165,4713365.996,732105.6988,4713364.734,39.8,15.9,13,1.02,5.39,5.61,77,-5.466216063,-1.261975415,260767
2013-09-20,PLT0024,pinure,516.1240234,142.7689972,732109.024,4713364.669,732106.2707,4713365.671,39.2,26.9,18.4,2.51,2.78,2.93,110,-2.753299379,1.00211902,260774
2013-09-20,PLT0024,pinure,513.9990234,139.4600067,732106.899,4713361.36,732106.1159,4713365.801,37.2,25.7,15.7,2.44,4.69,4.51,170,-0.783153281,4.441482966,260618
2013-09-20,PLT0024,pinure,511.1289978,138.401001,732104.029,4713360.301,732105.7517,4713366.309,34,23,18.1,2.02,3.16,6.25,196,1.722733474,6.0078856,260617
2013-09-20,PLT0024,acerru,510.3169861,140.8589935,732103.217,4713362.759,732106.0026,4713365.644,21.1,14.2,3.2,3.47,2.15,4.01,224,2.785580066,2.884552599,260754
2013-09-20,PLT0010,acerru,394.7600098,156.3099976,731987.66,4713378.21,731983.2011,4713375.839,33,22.6,9.9,0.84,6.44,5.05,62,-4.458885344,-2.370831392,200496
2013-09-20,PLT0010,acerru,395.1730042,156.3070068,731988.073,4713378.207,731983.3149,4713375.988,34.5,19.8,8.8,9.2,8.44,5.25,65,-4.758115882,-2.218745874,200495
2013-09-20,PLT0010,querru,396.1669922,149.5019989,731989.067,4713371.402,731983.8076,4713377.243,54.5,33.1,13.1,7.58,3.46,7.86,138,-5.259366566,5.841118328,200507
2013-09-20,PLT0010,piceab,390.8309937,150.1600037,731983.731,4713372.06,731983.731,4713372.06,21.4,1.3,1.3,NA,NA,NA,166,NA,NA,200501
2013-09-20,PLT0010,querru,384.9760132,147.5890045,731977.876,4713369.489,731983.0195,4713375.406,38.2,31.2,16.1,6.12,3.41,7.84,221,5.143502787,5.916923109,200451
2013-09-20,PLT0010,querru,384.8049927,148.003006,731977.705,4713369.903,731983.2206,4713375.615,37.8,20.8,18,4.25,4.17,7.94,224,5.515587461,5.711558015,200452
2013-09-20,PLT0010,piceab,386.8640137,153.3800049,731979.764,4713375.28,731983.1909,4713375.58,21,21.1,17.3,2.04,2.3,3.44,265,3.426909761,0.299815755,200480
2013-09-20,PLT0010,piceab,388.2130127,156.0039978,731981.113,4713377.904,731983.4513,4713376.554,13.3,1.3,1.3,NA,NA,2.7,300,2.33826859,-1.35,200479
2013-09-20,PLT0010,querru,388.9909973,158.8200073,731981.891,4713380.72,731983.4244,4713376.267,26.3,22.1,17.4,3.57,0.89,4.71,341,1.533426007,-4.453392491,200476
